Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,KDR01,444.600000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
2,KDR02,444.650000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
3,KDR03,444.800000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
4,KDR04,444.825000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
5,KDR05,444.850000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
6,KDR06,444.875000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
6,KDR07,444.925000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
6,KDR08,444.975000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
