Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,Jag01,155.425000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
2,Jag02,155.475000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
3,Jag03,155.500000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
4,Jag04,155.525000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
5,Jag05,155.000000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
6,Jag06,155.400000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
7,Jag07,155.450000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
