Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,LA5OR,145.000000,+,0.600000,TSQL,110.9,110.9,023,NN,FM,5.00,,,,,,
2,LA6OR,145.0375,split,145.6375,,88.5,88.5,023,NN,FM,5.00,,,,,,
