Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
66,MAR80A,157.025000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
67,MAR81,161.675000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
68,MAR81A,157.075000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
69,MAR82,161.725000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
70,MAR82A,157.125000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
71,MAR83,161.775000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
72,MAR83A,157.175000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
73,MAR84,161.825000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
74,MAR84A,157.225000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
75,MAR85,161.875000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
76,MAR85A,157.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
77,MAR86,161.925000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
78,MAR86A,157.325000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
79,MAR87,161.975000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
80,MAR87A,157.375000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
81,MAR88,162.025000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
82,MAR88A,157.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
83,WX 1,162.550000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
84,WX 2,162.400000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
85,WX 3,162.475000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
86,WX 4,162.425000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
87,WX 5,162.450000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
88,WX 6,162.500000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
89,WX 7,162.525000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
90,UHF 1,467.525000,,0.000000,Tone,88.5,88.5,023,NN,FM,5.00,S,,,,,
91,UHF 1A,457.525000,,0.000000,Tone,88.5,88.5,023,NN,FM,5.00,S,,,,,
92,UHF 1B,467.750000,,0.000000,Tone,88.5,88.5,023,NN,FM,5.00,S,,,,,
93,UHF 2,467.550000,,0.000000,Tone,88.5,88.5,023,NN,FM,5.00,S,,,,,
94,UHF 2A,457.550000,,0.000000,Tone,88.5,88.5,023,NN,FM,5.00,S,,,,,
95,UHF 2B,467.775000,,0.000000,Tone,88.5,88.5,023,NN,FM,5.00,S,,,,,
96,UHF 3,467.575000,,0.000000,Tone,88.5,88.5,023,NN,FM,5.00,S,,,,,
97,UHF 3A,457.575000,,0.000000,Tone,88.5,88.5,023,NN,FM,5.00,S,,,,,
98,UHF 3B,467.800000,,0.000000,Tone,88.5,88.5,023,NN,FM,5.00,S,,,,,
99,UHF 4,467.500000,,0.000000,Tone,88.5,88.5,023,NN,FM,5.00,S,,,,,
100,UHF 4A,457.500000,,0.000000,Tone,88.5,88.5,023,NN,FM,5.00,S,,,,,
101,UHF 4B,467.725000,,0.000000,Tone,88.5,88.5,023,NN,FM,5.00,S,,,,,
102,UHF 5,467.600000,,0.000000,Tone,88.5,88.5,023,NN,FM,5.00,S,,,,,
103,UHF 5A,457.600000,,0.000000,Tone,88.5,88.5,023,NN,FM,5.00,S,,,,,
